County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American,Other,Hispanic,Male,Female,Total
,,,,,,,,,Indian,,,,,
MACON,"5,896","10,505",9,10,137,"8,556","23,867",180,51,"1,015",316,"11,586","13,292","25,113"
MADISON,"5,825","4,274",8,2,107,"5,869","15,025",174,27,859,159,"7,467","8,023","16,085"
MARTIN,"8,952","3,166",1,5,39,"3,640","8,549","6,753",27,474,117,"6,980","8,626","15,803"
MCDOWELL,"6,990","10,876",9,8,149,"9,204","25,841",787,25,583,326,"12,903","14,330","27,236"
MECKLENBURG,"314,878","162,451",193,256,"4,903","244,244","390,909","234,626","1,991","99,399","33,605","316,224","381,789","726,925"
MITCHELL,"1,044","6,059",1,2,33,"3,034","9,633",32,8,500,95,"4,753","5,183","10,173"
MONTGOMERY,"6,297","4,998",3,11,65,"4,242","11,181","3,160",41,"1,234",568,"7,173","8,085","15,616"
MOORE,"15,732","27,817",15,16,399,"23,682","55,487","7,822",302,"4,050","1,187","30,356","36,352","67,661"
NASH,"31,419","18,382",6,29,226,"14,682","34,247","26,065",318,"4,114","1,248","28,390","34,778","64,744"
NEW HANOVER,"49,807","51,595",52,52,"1,214","61,480","128,776","20,254",361,"14,809","2,935","70,734","83,400","164,200"
NORTHAMPTON,"9,191","1,434",3,2,25,"2,637","5,148","7,671",32,441,44,"5,801","7,098","13,292"
ONSLOW,"24,546","38,367",34,69,"1,017","39,403","73,059","17,887",367,"12,123","5,528","45,305","54,485","103,436"
ORANGE,"49,952","14,723",37,23,695,"42,229","77,152","11,929",255,"18,323","3,608","45,724","54,888","107,659"
PAMLICO,"3,255","3,208",1,5,44,"2,588","7,087","1,506",26,482,78,"4,139","4,695","9,101"
PASQUOTANK,"11,301","6,024",11,5,154,"9,035","15,281","9,520",40,"1,689",255,"11,617","14,113","26,530"
PENDER,"11,358","15,435",9,21,255,"13,001","31,175","5,911",95,"2,898",787,"18,280","20,536","40,079"
PERQUIMANS,"3,472","2,677",3,5,38,"3,131","6,870","2,128",21,307,43,"4,258","4,947","9,326"
